ID	PARENT_ID	IDX	KIND	NAME	ATTRS
1	-1	-1	FUNC_PROTO	(anon)	ret_type_id=2 vlen=1
2	-1	-1	INT	int	size=4 bits_offset=0 nr_bits=32 encoding=SIGNED
3	-1	-1	PTR	(anon)	type_id=0
4	-1	-1	FUNC	sum_15	type_id=1 linkage=global
5	-1	-1	CONST	(anon)	type_id=6
6	-1	-1	INT	char	size=1 bits_offset=0 nr_bits=8 encoding=SIGNED
7	-1	-1	ARRAY	(anon)	type_id=5 index_type_id=8 nr_elems=9
8	-1	-1	INT	__ARRAY_SIZE_TYPE__	size=4 bits_offset=0 nr_bits=32 encoding=(none)
9	-1	-1	VAR	sum_15.____fmt	type_id=7, linkage=static
10	-1	-1	ARRAY	(anon)	type_id=6 index_type_id=8 nr_elems=4
11	-1	-1	VAR	_license	type_id=10, linkage=global
12	-1	-1	DATASEC	.rodata	size=0 vlen=1
-1	12	0	DATASEC_ENTRY	sum_15.____fmt	type_id=9 offset=0 size=9
13	-1	-1	DATASEC	license	size=0 vlen=1
-1	13	0	DATASEC_ENTRY	_license	type_id=11 offset=0 size=4
