ID	PARENT_ID	IDX	KIND	NAME	ATTRS
1	-1	-1	FUNC_PROTO	(anon)	ret_type_id=2 vlen=1
2	-1	-1	INT	int	size=4 bits_offset=0 nr_bits=32 encoding=SIGNED
3	-1	-1	PTR	(anon)	type_id=0
4	-1	-1	FUNC	xdp_demo	type_id=1 linkage=global
5	-1	-1	ARRAY	(anon)	type_id=2 index_type_id=6 nr_elems=3
6	-1	-1	INT	__ARRAY_SIZE_TYPE__	size=4 bits_offset=0 nr_bits=32 encoding=(none)
7	-1	-1	VAR	tab	type_id=5, linkage=global
8	-1	-1	CONST	(anon)	type_id=9
9	-1	-1	INT	char	size=1 bits_offset=0 nr_bits=8 encoding=SIGNED
10	-1	-1	ARRAY	(anon)	type_id=8 index_type_id=6 nr_elems=9
11	-1	-1	VAR	xdp_demo.____fmt	type_id=10, linkage=static
12	-1	-1	ARRAY	(anon)	type_id=9 index_type_id=6 nr_elems=4
13	-1	-1	VAR	_license	type_id=12, linkage=global
14	-1	-1	DATASEC	.data	size=0 vlen=1
-1	14	0	DATASEC_ENTRY	tab	type_id=7 offset=0 size=12
15	-1	-1	DATASEC	.rodata	size=0 vlen=1
-1	15	0	DATASEC_ENTRY	xdp_demo.____fmt	type_id=11 offset=0 size=9
16	-1	-1	DATASEC	license	size=0 vlen=1
-1	16	0	DATASEC_ENTRY	_license	type_id=13 offset=0 size=4
